id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,753,23,28,2,11,10,no,yes,1
2,2786,22,16,14,21,20,no,no,4
3,4232,33,7,36,21,28,yes,no,5
4,3814,30,1,20,17,30,no,no,4
5,2173,17,8,10,23,30,no,no,5
6,941,16,28,2,12,8,no,yes,2
7,1323,19,28,2,19,10,no,no,1
8,3109,34,1,32,23,26,no,no,4
9,990,20,24,2,13,8,no,yes,2
10,1829,15,16,14,19,8,no,no,1
11,2361,24,8,10,19,20,no,no,4
12,3913,35,1,28,15,14,no,no,1
13,2938,15,20,6,23,18,no,no,4
14,3580,32,3,24,21,30,yes,no,4
15,4245,38,3,20,15,12,no,no,1
16,2950,23,12,10,15,14,no,no,1
17,2546,21,28,10,17,18,no,no,4
18,1374,20,12,2,17,4,no,no,2
19,3886,32,3,20,19,22,no,no,5
20,2453,19,8,10,15,16,no,no,2
21,3365,37,5,36,23,20,no,no,4
22,2391,24,20,14,19,12,no,no,2
23,913,20,16,2,11,6,no,yes,2
24,2837,18,16,14,23,26,no,no,4
25,2719,24,8,2,21,24,no,no,5
26,3623,35,5,56,21,16,no,no,1
27,3245,32,5,36,19,12,no,no,2
28,2907,20,12,6,23,16,no,no,1
29,4132,35,5,28,23,30,yes,no,4
30,2013,22,16,10,17,24,no,no,5
31,1107,22,24,10,12,6,no,yes,1
32,3264,38,3,48,15,12,yes,no,1
33,3768,31,5,36,21,16,yes,no,1
34,4046,37,7,16,17,24,no,no,4
35,3206,33,1,24,23,22,no,no,4
36,3763,30,3,24,23,22,no,no,5
37,1349,15,20,2,19,6,no,no,2
38,3942,31,7,20,23,24,no,no,5
39,1198,21,12,10,12,10,no,yes,1
40,2348,22,28,6,15,16,yes,no,1
41,2631,23,20,6,19,24,no,no,4
42,3641,38,1,32,15,22,no,no,5
43,3753,36,1,16,19,30,no,no,5
44,2317,23,28,2,15,28,no,no,5
45,2014,19,28,6,15,22,no,no,4
46,3872,33,3,24,15,22,yes,no,4
47,1990,22,20,14,19,10,no,no,1
48,2429,21,12,6,23,12,no,no,1
49,3108,31,5,20,17,18,yes,no,5
50,2952,24,20,14,19,24,yes,no,5
51,4100,36,5,36,19,16,yes,no,1
52,2139,15,12,14,15,24,no,no,4
53,2860,24,20,6,19,22,yes,no,5
54,760,23,8,14,12,4,yes,no,2
55,502,21,24,14,12,10,no,yes,1
56,3227,31,5,24,23,22,no,no,4
57,928,22,12,14,13,10,yes,no,2
58,2409,18,20,2,21,22,no,no,5
59,2626,19,24,14,17,18,no,no,4
60,3991,39,3,56,17,30,no,no,4
61,3320,34,5,56,15,12,yes,no,1
62,2910,20,8,6,23,28,no,no,4
63,3875,39,5,32,17,12,no,no,1
64,3391,35,1,28,19,22,no,no,5
65,3973,37,1,48,19,26,no,no,4
66,2531,17,16,14,21,24,no,no,5
67,2212,16,24,6,21,18,yes,no,4
68,3103,34,1,48,21,18,no,no,5
69,3616,39,5,48,23,12,yes,no,2
70,4137,32,3,60,21,12,no,no,2
71,1462,21,24,2,17,6,no,no,2
72,649,22,28,14,13,4,no,yes,1
73,3822,35,7,48,17,24,no,no,5
74,1735,23,16,2,15,6,no,no,2
75,708,16,12,2,12,4,yes,no,1
76,1121,24,8,2,11,8,no,yes,2
77,2970,17,28,14,23,22,no,no,4
78,2721,19,12,6,21,30,no,no,4
79,3156,30,1,36,19,24,yes,no,5
80,3838,35,7,48,21,24,no,no,4
81,650,19,20,14,12,6,no,yes,1
82,527,18,16,10,12,4,no,yes,1
83,1920,19,28,2,15,8,yes,no,1
84,2650,21,8,6,23,16,no,no,2
85,838,17,24,6,11,6,no,yes,1
86,1885,20,20,6,21,8,no,no,2
87,3760,33,5,32,15,14,yes,no,2
88,3703,39,1,56,21,18,no,no,4
89,4312,38,7,16,21,20,yes,no,5
90,1761,19,28,10,17,6,no,no,1
91,1550,16,28,2,21,10,no,no,2
92,1481,16,24,10,19,8,no,no,1
93,4288,30,5,36,19,18,yes,no,5
94,3807,39,5,36,19,28,no,no,4
95,3914,30,1,40,17,18,no,no,4
96,2567,20,28,6,15,14,no,no,1
97,4216,37,7,20,15,22,yes,no,5
98,3086,31,3,60,15,22,no,no,4
99,601,20,12,10,11,4,no,yes,1
100,1265,22,12,10,15,4,no,no,2
101,3921,30,1,24,21,28,no,no,5
102,2955,15,16,2,23,30,no,no,5
103,886,22,28,2,11,8,no,yes,2
104,1654,24,12,6,15,4,no,no,2
105,1777,21,20,2,23,10,no,no,2
106,1500,20,12,6,21,10,yes,no,2
107,2703,24,24,6,15,20,no,no,4
108,3649,35,5,16,21,18,no,no,4
109,1536,16,20,10,21,8,yes,no,2
110,3200,39,5,60,21,18,yes,no,5
111,1130,20,24,10,13,10,no,yes,1
112,1472,18,8,2,17,6,yes,no,1
113,3994,30,1,20,15,14,no,no,2
114,2674,18,8,2,19,16,no,no,2
115,1902,16,16,6,15,10,no,no,1
116,1385,22,28,10,23,6,no,no,1
117,2478,21,20,14,17,30,no,no,5
118,4122,32,7,28,17,22,no,no,5
119,2236,22,16,14,19,14,yes,no,1
120,1869,16,12,10,15,6,no,no,1
121,628,23,24,2,13,6,yes,no,1
122,2676,17,20,6,19,26,yes,no,5
123,2274,24,12,6,15,30,no,no,4
124,1949,15,24,2,23,6,no,no,2
125,1204,22,24,6,15,6,yes,no,1
126,975,24,16,10,13,4,no,yes,1
127,2742,20,12,2,17,30,no,no,4
128,2558,16,24,10,21,14,no,no,1
129,2574,23,16,6,17,28,no,no,4
130,4204,36,1,56,21,30,yes,no,4
131,1060,17,20,6,12,10,yes,no,1
132,3668,37,7,16,23,20,yes,no,4
133,500,16,16,14,11,8,yes,no,2
134,3807,38,7,56,21,16,no,no,1
135,3507,36,1,48,19,20,no,no,5
