id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,711,18,20,10,13,8,no,yes,1
2,2965,24,16,14,19,14,no,no,1
3,2877,16,16,14,21,28,no,no,4
4,2961,20,20,14,23,28,no,no,4
5,1115,15,12,2,13,6,no,yes,2
6,4014,34,7,52,15,26,no,no,5
7,1565,19,20,14,17,4,no,no,1
8,1212,21,28,10,21,4,yes,no,2
9,3913,34,3,20,19,24,no,no,4
10,3255,37,5,20,23,22,no,no,4
11,2930,24,24,6,19,22,no,no,5
12,1580,21,20,2,17,6,yes,no,2
13,1888,21,16,2,17,4,yes,no,1
14,2793,19,12,6,15,20,no,no,5
15,751,17,24,2,13,4,no,yes,2
16,2980,19,16,6,15,16,yes,no,2
17,2706,20,16,2,15,12,no,no,1
18,3707,37,3,56,23,22,no,no,4
19,4045,33,3,32,19,12,no,no,2
20,2450,22,16,14,15,30,no,no,5
21,2028,22,16,14,19,22,yes,no,5
22,1362,23,12,6,17,4,no,no,2
23,1569,15,20,10,19,4,no,no,1
24,2725,23,8,14,19,18,no,no,5
25,1236,22,24,6,23,8,yes,no,2
26,3143,37,1,56,19,18,no,no,5
27,512,16,16,10,11,6,yes,no,1
28,1149,22,8,10,12,4,no,yes,1
29,1803,19,28,10,19,8,no,no,1
30,3266,39,7,16,17,16,no,no,2
31,3252,38,3,52,15,30,yes,no,5
32,4297,37,1,20,17,20,no,no,4
33,3991,31,1,28,23,20,no,no,4
34,2111,17,16,10,23,30,no,no,5
35,3620,30,3,44,21,26,yes,no,4
36,4278,31,3,56,19,30,no,no,5
37,717,16,8,10,12,6,no,yes,2
38,1936,23,12,14,19,10,yes,no,1
39,690,21,8,6,11,10,no,yes,1
40,1718,19,8,6,17,4,no,no,1
41,3189,34,1,16,15,30,no,no,4
42,1926,18,16,10,23,4,no,no,1
43,3238,32,1,24,17,20,no,no,4
44,1425,23,24,6,23,4,no,no,1
45,2849,16,16,14,21,28,no,no,4
46,2418,21,12,10,23,28,no,no,4
47,1971,18,12,10,17,6,no,no,2
48,3805,32,5,48,23,18,no,no,4
49,3135,35,1,56,19,26,no,no,5
50,1258,20,16,10,23,8,no,no,2
51,1528,16,16,14,15,4,yes,no,1
52,4231,30,5,24,23,14,no,no,1
53,2473,21,28,10,15,12,no,no,1
54,1902,15,28,6,17,6,no,no,2
55,1655,15,12,14,19,4,no,no,2
56,558,24,28,2,13,4,no,yes,1
57,722,23,28,10,11,6,no,yes,1
58,3500,33,3,20,17,12,yes,no,2
59,2459,23,24,6,17,24,no,no,4
60,2479,21,28,14,23,28,no,no,4
61,2326,15,12,2,15,26,no,no,4
62,1200,23,16,6,15,10,yes,no,1
63,1297,22,12,10,21,8,no,no,1
64,1823,19,20,2,15,6,no,no,1
65,3517,36,7,60,15,20,no,no,5
66,3260,37,7,56,19,18,yes,no,4
67,908,22,20,14,12,4,yes,no,2
68,2256,15,8,14,15,22,yes,no,4
69,4279,34,3,60,21,30,no,no,5
70,3979,33,3,52,19,20,no,no,4
71,2049,18,16,14,17,12,no,no,2
72,2224,15,8,6,21,26,yes,no,4
73,4249,30,5,40,17,26,no,no,5
74,1519,15,16,10,17,6,no,no,2
75,3682,32,3,60,23,20,no,no,4
76,2401,15,8,14,19,16,no,no,1
77,2575,16,12,2,17,12,no,no,2
78,2268,16,28,6,21,20,yes,no,4
79,3698,32,1,32,21,12,no,no,2
80,1913,18,24,6,23,8,no,no,1
81,1363,22,24,10,17,4,no,no,2
82,2179,22,12,6,17,18,no,no,5
83,2285,18,12,10,19,14,no,no,1
84,2820,20,28,2,21,24,yes,no,5
85,3463,31,3,28,15,12,no,no,1
86,1416,16,12,6,21,6,yes,no,1
87,1835,21,16,6,17,8,no,no,1
88,2164,18,20,14,21,24,yes,no,5
89,3816,31,1,16,19,22,yes,no,5
90,2476,20,12,14,19,24,yes,no,4
91,1810,17,12,6,17,4,no,no,2
92,2631,24,8,2,21,28,no,no,4
93,1674,22,20,6,21,4,no,no,2
94,1376,17,28,10,23,8,yes,no,1
95,756,24,28,14,12,8,yes,no,2
96,3323,39,1,44,19,18,no,no,4
97,2068,16,28,10,21,30,yes,no,4
98,3243,33,1,60,15,20,no,no,4
99,1086,23,12,6,12,8,no,yes,1
100,620,20,16,14,13,4,yes,no,1
101,776,18,12,2,12,10,yes,no,2
102,965,23,12,14,11,4,no,yes,2
103,3052,33,7,20,15,14,yes,no,2
104,1947,20,28,2,15,10,no,no,1
105,4263,38,1,36,21,20,no,no,5
106,2529,23,12,10,19,26,no,no,4
107,3914,35,5,60,19,16,no,no,1
108,2000,24,24,14,19,26,yes,no,1
109,1311,18,20,6,17,6,no,no,2
110,1848,23,8,10,21,8,yes,no,1
111,4045,33,1,32,15,30,no,no,4
112,2331,24,24,10,23,24,no,no,5
113,3577,33,1,44,19,22,no,no,4
114,3723,31,7,24,21,26,no,no,5
115,3979,38,3,16,15,26,no,no,5
116,1781,17,12,14,19,10,no,no,2
117,2314,16,24,6,23,12,no,no,1
118,1743,18,20,10,15,8,no,no,1
119,4348,37,1,48,15,14,yes,no,2
120,3339,35,7,28,21,16,no,no,1
121,1230,18,28,10,15,10,no,no,2
122,2167,20,8,14,21,26,no,no,4
123,1498,16,12,6,15,6,no,no,1
124,2565,20,12,14,15,24,no,no,5
125,2498,21,16,14,23,24,no,no,5
126,825,19,12,6,11,6,no,yes,2
127,2902,17,20,14,21,24,no,no,4
128,4192,36,1,36,19,24,yes,no,5
129,2934,22,12,14,19,16,no,no,2
130,1899,23,28,6,21,10,no,no,1
131,1097,22,16,6,13,6,no,yes,2
132,2549,24,16,14,15,28,no,no,5
133,2018,23,28,14,19,24,no,no,4
134,1978,22,8,14,23,4,no,no,1
135,3377,30,7,20,19,14,no,no,2
136,4150,35,7,24,15,26,no,no,5
137,4334,38,7,16,21,28,no,no,5
138,1850,24,16,10,17,4,no,no,2
